site,LocalAuthority
ABD,Aberdeenshire
ABE,Aberdeen City
AGB,Argyll & Bute
ANS,Angus
CLA,Clackmannanshire
DGY,Dumfries & Galloway
DND,Dundee City
EAY,East Ayrshire
EDH,City of Edinburgh
EDU,East Dunbartonshire
ELN,East Lothian
ELS,Na h-Eileanan Siar
ERW,East Renfrewshire
FAL,Falkirk
FIF,Fife
GLG,Glasgow City
HLD,Highland
IVC,Inverclyde
MLN,Midlothian
MRY,Moray
NAY,North Ayrshire
NLK,North Lanarkshire
OKI,Orkney Islands
PKN,Perth & Kinross
RFW,Renfrewshire
SAY,South Ayrshire
SCB,Scottish Borders
SLK,South Lanarkshire
STG,Stirling
WDU,West Dunbartonshire
WLN,West Lothian
ZET,Shetland
