id,locationId,RoadName,RoadNumber,RoadType
78f5f69a-c2e6-5601-b95a-32fb08492019,c307d158-459c-58f2-b252-67abee24a7cb,South Rd,A982,A-Road
ed980efb-9f2a-57b4-84d2-fe862a0acb15,a8a2dff7-c8a7-5f1d-8b17-cb0d2b1bcfb9,Broad St,A98,A-Road
988b1774-6c65-54fb-ac62-982f471eaf3d,18dff98e-54ea-5669-a825-da05ca0ce9de,West High St,B9170,B-Road
83db22bf-e903-5b5f-8a65-91427e7976b3,240558de-0d72-5036-babf-b742c943e40e,Muirend Rd,,Minor
77df9d02-d7f3-50bc-a757-6adde6d3f535,e00e5a04-b35d-536c-87b7-812255223e4d,Bridge St,B9005,B-Road
22384078-6354-5c2e-949e-7d01dbeed9fb,d73596b6-56f8-5970-8891-3488d2a31bfa,Dundee Rd,A933,A-Road
5b0ef142-33ab-546c-b4d8-40d49929ff59,d73596b6-56f8-5970-8891-3488d2a31bfa,Cairnie St,A92,A-Road
d2832bc9-084d-5689-9293-d6d517c7b750,d73596b6-56f8-5970-8891-3488d2a31bfa,Seaton Rd,,Minor
c00c0f41-c017-5f8f-8f40-9bab7ccb5250,097ba6a2-09c6-55dd-95bc-caaf15f7aabc,King St,A956,A-Road
cf4f3e80-d7d6-5690-ad3f-223e3b21a696,097ba6a2-09c6-55dd-95bc-caaf15f7aabc,Auchmill Rd,A96,A-Road
f8e313ed-996c-53b9-905d-8fbd372d4430,097ba6a2-09c6-55dd-95bc-caaf15f7aabc,Lang Stracht,A944,A-Road
d674bde3-fcdb-5a3d-b38f-b6455a20e3f4,097ba6a2-09c6-55dd-95bc-caaf15f7aabc,Skene Rd,B9119,B-Road
44fcddcf-7e58-5751-8697-b90434e04ac5,097ba6a2-09c6-55dd-95bc-caaf15f7aabc,Wellington Rd,A956,A-Road
997a07a8-9558-518b-82a0-49ac80be1eb7,d73596b6-56f8-5970-8891-3488d2a31bfa,Keptie Rd,B9095,B-Road
11a549d5-71da-5460-bf23-f5b2fe6ffd45,d73596b6-56f8-5970-8891-3488d2a31bfa,Fisheracre,A92,A-Road
23765602-7c69-5f61-a211-3c1885ff73dc,d73596b6-56f8-5970-8891-3488d2a31bfa,Millgate Loan,B9114,B-Road
6c56e963-1b45-5821-88bc-0d2bae22c9a0,d73596b6-56f8-5970-8891-3488d2a31bfa,Westway,A933,A-Road
bca4bcda-03e3-5661-b9da-ecd888a1465d,d73596b6-56f8-5970-8891-3488d2a31bfa,Burnside Drive,,Other
