id,site,Location
c307d158-459c-58f2-b252-67abee24a7cb,ABD,Peterhead
a8a2dff7-c8a7-5f1d-8b17-cb0d2b1bcfb9,ABD,Fraserburgh
18dff98e-54ea-5669-a825-da05ca0ce9de,ABD,Inverurie
240558de-0d72-5036-babf-b742c943e40e,ABD,Portlethen
e00e5a04-b35d-536c-87b7-812255223e4d,ABD,Ellon
d73596b6-56f8-5970-8891-3488d2a31bfa,ANS,Arbroath
097ba6a2-09c6-55dd-95bc-caaf15f7aabc,ABE,Aberdeen
004f6584-ba47-546c-b414-8db552d0b6b6,CLA,Alloa
8855567a-07d2-504e-82f8-c9030d6e70f9,EDH,Edinburgh
4f0df854-07b1-55ca-90d8-0fe546d8e361,DND,Dundee
7ffabe8c-8b76-5daa-8bc5-7be957adc200,AGB,Dunoon
a9379831-23af-5ea2-a522-7ca42d5ab667,AGB,Helensburgh
26f7d3fe-ffde-544a-9e05-78fb191bee24,GLG,Glasgow
2ea968a2-bd47-5161-8cec-01c6412db04c,MRY,Forres
a7cddfda-06e5-5165-8262-4ade9ff810ff,MRY,Elgin
007c3c2e-8698-52aa-896f-10d4ae3c0042,SLK,Hamilton
e982fdd2-7bc7-59ff-b7e3-658fd39916f3,STG,Stirling
27280d7f-aea3-5631-b185-3d93c53067a0,FAL,Denny
7394073b-00a0-57bc-be53-84fd5f50b651,NLK,Airdrie
6ee77efa-0af5-5f1f-90f6-9b0ebb4733ed,DGY,Stranraer
7c2751f3-f936-5c26-90f5-ba2eb34a85ae,DGY,Dumfries
a1a80a54-5bc1-53ae-aada-675dfdaddfa4,EAY,Kilmarnock
2ea6ecc3-17ca-5d3d-a223-e2227de3f05f,EAY,Cumnock
eec3c86e-3ebc-5549-89df-ee5b6b0a4c49,EDU,Milngavie
441333b7-ecd5-5587-9f7c-c1086a043c28,EDU,Kirkintilloch
48650827-e73d-57cd-8c7c-474dc5b47717,ELN,Musselburgh
17a2376e-a21e-52bb-9af1-4ddc6f0df678,ERW,Barrhead
a5fc89f4-4eee-5a10-bc9d-5f21d651ddc7,ERW,Waterside
7762df5c-37ca-5b90-b210-d700aa207996,ERW,Neilston
78d8eb6a-da85-5995-8771-02d5d6e79b88,ERW,Newton Mearns
a54f1424-764e-5194-b146-73d8ae73c1f7,ERW,Waterfoot
405fc7eb-37ac-5e83-a5da-3cc1c028d235,ERW,Eaglesham
bff51d42-6082-549f-a449-c7376dfc481a,ERW,Clarkston
2bdd37f3-2cd8-5043-9506-1c214eced0b1,ERW,Muirend
d42aed07-5dd8-5f83-ad7e-a166b1de7237,ERW,Giffnock
7674ea0e-4200-548a-a9f0-730594e60440,ERW,Thornliebank
ea2eac58-9e4f-524f-8ebb-9fd65a4f11f4,ERW,Whitelee Wind Farm
aecb3e1b-dfbf-5a83-b374-724fe3bbdaec,FIF,Dunfermline
711e1252-8f14-5d04-bd89-ea84abc60f42,FIF,Kirkcaldy
966da1f0-1c14-57bf-96dc-497e88f46b32,FIF,Dysart
b49ae575-1f22-52c5-ad4f-90bd98d61de1,FIF,Glenrothes
4101c359-2870-5099-ac3f-dc5d4ebf9749,FIF,Methil
c3249183-4d5b-5007-865d-52fc8fb05f7b,FIF,Leven
bf3a4739-fea0-57f8-9570-380f8b190d26,FIF,Cowdenbeath
2b102a93-0546-5e6a-a7bc-eaa529e2f34b,FAL,Falkirk
74f60ab9-3ecf-54a1-a7bc-b571492c251b,FAL,Larbert
303aafb3-dd30-5391-9220-2a93c71401b0,HLD,Inverness
dfeb8971-a237-503c-8421-18534a7aefbd,HLD,Culloden
afd8496c-7922-5739-a0e9-e91508415add,HLD,Fort William
02677d88-932f-5325-b3ba-618316154272,HLD,Nairn
26b6ab66-a211-5ad8-9a75-53ae84914bd7,IVC,Greenock
c761a8c5-6aed-5c3b-804c-0a33775031fb,MLN,Dalkeith
15e28e6e-6d2c-55cc-8b54-f0a97dd0a8d5,MLN,Penicuik
9866d233-e874-5109-ba65-f104f0f95be2,NAY,Irvine
32fb1761-d916-5509-92cd-027955bb0582,NAY,Saltcoats
e357dadb-58ef-5af6-8854-56da071348b3,NLK,Gartcosh
6e41d894-5420-5b4f-8777-3fc9a8f9307d,NLK,Motherwell
ceaa50b9-f1fb-55f8-bf77-168d2a382411,NLK,Wishaw
fe192877-fe48-5733-851c-9fe2224148f2,NLK,Cumbernauld
d1f960e4-fa46-5ce4-9a05-5c0b85be9cbd,NLK,Coatbridge
d1670106-cdd9-5bb4-873e-943772e9b227,OKI,Kirkwall
9759926f-2b38-5055-b901-e10e773f207a,PKN,Perth
e2ac6700-e178-5388-aed2-f01987e294c0,RFW,Bishopton
5c8dcf83-dbde-5145-929d-5c03c884f442,RFW,Elderslie
1f0b8539-2b02-5547-be20-124b9b92736c,RFW,Paisley
4926a412-d7b4-5504-9aa6-9d258c928632,RFW,Inchinnan
362cdedf-c3d0-5b38-95a7-ea39fa2bb2ab,SAY,Ayr
b9da749d-bf95-5495-a475-210896aa720e,SCB,Peebles
92373ed5-8f39-5244-b279-a9b4894289ee,SCB,Tweedbank
9b8d95cb-1ca2-5975-b6a1-1939b7f17460,SCB,Hawick
9e339298-e78a-595d-9741-afe7233c5633,SLK,Lanark
deb4bb75-b888-5d94-adac-346213d4fed1,SLK,Rutherglen
e4682511-d986-5fe3-a4bc-83b2c7a7ce08,SLK,East Kilbride
422a0875-634a-588a-99cd-9e98d6e028e5,WDU,Clydebank
072938c5-b642-57f7-8efb-bec4d3d664e9,WDU,Dumbarton
40fe74bb-4074-52a1-a237-424be5970524,ELS,Stornoway
5ebfef8f-ce4d-57d9-bc90-ad0f98c9c9d6,WLN,Bathgate
4a95294e-04ff-564f-9a79-57c8dab77f39,WLN,Broxburn
608ca9a1-ef3d-5de9-8055-692436614135,ZET,Lerwick
