Code,locationId,roadId,RoadNameExt,cycling_infrastructure,usrn,geoLocationId,Latitude,Longitude,Easting,Northing,Notes,verified
CYC010,e982fdd2-7bc7-59ff-b7e3-658fd39916f3,f54e0f9b-7372-51c2-bdd7-9ad58f631711,,,,44a06823-27aa-5ebd-9695-b867dd3141a0,56.114433,-3.9305574,,,,0
WI03,40fe74bb-4074-52a1-a237-424be5970524,48583706-2714-5150-9228-f0389f5f7a4e,,,,8e16f904-64dc-57d0-b55c-988e182d4243,58.2163749,-6.3858746,,,,0
EA01,a1a80a54-5bc1-53ae-aada-675dfdaddfa4,41e6d1ee-94fd-5f60-89ba-c114fdb1e1e4,,,,39282807-f72f-5c3a-a978-c35b1f0ee3b3,55.613529,-4.492658,243102,638368,,0
GC12,26f7d3fe-ffde-544a-9e05-78fb191bee24,10de2dfc-d91a-5d48-9b52-6f42292f50c4,,,,d126133f-794e-5c6b-8eee-831b3c881d1b,55.85947,-4.233251,260319,665176,,0
GC07,26f7d3fe-ffde-544a-9e05-78fb191bee24,f8cac77b-2f80-529e-a4b9-497bf89f78dd,,,8011765,d65048ff-6feb-5d8f-8160-7ef1376ec320,55.87443,-4.18361,263478,666741,On-road cycle lane further up the road,1
PKF,9759926f-2b38-5055-b901-e10e773f207a,59ed3f3b-f636-57d1-b613-9673f7625e27,,,30000291,f6a69045-49fd-59b2-b110-da9362f0e2ae,56.39567,-3.4256244,312097,723513,,0
ERC13,d42aed07-5dd8-5f83-ad7e-a166b1de7237,63143a9a-0006-5779-ba5f-e44e7087f69d,,,,a175d05b-ac63-56e1-afe7-547b9832d742,55.801556,-4.287895,256687,658844,,0
DH,4f0df854-07b1-55ca-90d8-0fe546d8e361,52789444-a27f-5df1-84b4-ebfea2b5cbc4,,,,7b4b9c12-45d4-54d1-84e7-bc788644751f,56.474686,-2.955192,,,,0
CYC004,26f7d3fe-ffde-544a-9e05-78fb191bee24,a285a3e6-746a-5021-9fae-162d3b6fd79c,Bridgeton Cross Bandstand,,8008709,14f0e202-df2a-5f95-935c-fedfdcef9148,,,260721,664012,One of two independent surveys on London Road; reinstated May 2024 (stopped after 2020); CycleWay starts on other side of junction; Non-unique lat/lng,1
ERC03,17a2376e-a21e-52bb-9af1-4ddc6f0df678,7524e6f2-4fc3-57f6-bbc8-90de51c73470,"junction with McKelvie Crescent, Lochlibo Rd & Neilston Rd",,48800088,2d278b66-b20b-5f59-89cf-b8e7cd5f2878,55.795295,-4.403576,249413,658393,"Independent surveys; largest number of surveys in East Renfrewshire, some relatevely close together",1
ERC05,17a2376e-a21e-52bb-9af1-4ddc6f0df678,7524e6f2-4fc3-57f6-bbc8-90de51c73470,approach to roundabout leading to Main St,,48800088,1313fb67-9585-5663-a408-f5446e98abbc,55.798482,-4.398071,249770,658735,"Independent surveys; largest number of surveys in East Renfrewshire, some relatevely close together",1
ERC14,d42aed07-5dd8-5f83-ad7e-a166b1de7237,09b0f58d-9f08-5841-afc3-c390b6de55d5,junction with Church Rd,CycleWay,48802476,7d8d5ea0-fd4d-577d-9b1f-b6d6c8a07ccd,55.80055,-4.295363,256215,658747,"Independent surveys; largest number of surveys in East Renfrewshire, some relatevely close together",1
ERC15,d42aed07-5dd8-5f83-ad7e-a166b1de7237,09b0f58d-9f08-5841-afc3-c390b6de55d5,between Dinard Drive & Carleton Court,On-road Cycle Lane,48802476,413f6d12-350b-55e1-beba-d1a1d50e2a35,55.810999,-4.293383,256378,659906,"Independent surveys; largest number of surveys in East Renfrewshire, some relatevely close together",1
ERC17,d42aed07-5dd8-5f83-ad7e-a166b1de7237,09b0f58d-9f08-5841-afc3-c390b6de55d5,exit from Eastwood Toll Roundabout,Shared-use Path,48802476,10a13a66-ea5e-5ff1-9d20-f6416cc3b37e,55.796689,-4.301745,255801,658331,"Independent surveys; largest number of surveys in East Renfrewshire, some relatevely close together",1
GC08,26f7d3fe-ffde-544a-9e05-78fb191bee24,a285a3e6-746a-5021-9fae-162d3b6fd79c,Velodrome / East City Way,CycleWay,8008709,b14300f8-7a00-5f61-b68e-2d618e4d7a98,55.84823,-4.20786,261868,663874,One of two independent surveys on London Road,1
NL07,6e41d894-5420-5b4f-8777-3fc9a8f9307d,561bedb3-1603-558a-ade3-12d593b59ba9,access to station,,48403447,cc1a8452-8bf2-55a1-bd28-03b2bc32c15e,55.79014,-3.99341,275106,657003,Independent surveys; NL07 active travel access to station (project completed 2025). NL07a opposite access point to station on road,1
PKE,9759926f-2b38-5055-b901-e10e773f207a,be547c07-3383-54d4-ace9-037c027e4fb9,near Stagecoach UK,,30000610,2fcd148a-60a9-5a90-8d00-c4c7ddfd68a6,56.402316,-3.4406024,311188,724272,One of two independent surveys on Dunkeld Road,1
PKH,9759926f-2b38-5055-b901-e10e773f207a,be547c07-3383-54d4-ace9-037c027e4fb9,"SSE, on approach to Inveralmond Roundabout",,30000610,de801e75-399f-5bf7-a3dd-52f73b0e66ba,56.417799,-3.4635261,309810,726025,One of two independent surveys on Dunkeld Road,1
R05,1f0b8539-2b02-5547-be20-124b9b92736c,a5c36488-ea98-5b47-bfa9-4eb05eb1566d,between White Cart Bridge & Harbour Rd,,31304760,8637c667-5c76-5271-8c8f-ef5f6f321a1c,55.85121219,-4.421304719,248519,664653,,1
