"identifier","hub_fc37c4e23a31","d4f3feb480c6","db501d62cf62","e407634ed82a","d51d9bb28eed","daba29f2cd88","d9574537cf02","c498307335e4","e1b5e5c96a13","b745af40cf37","b55835206820","c0e2e73924ae","a6438f4982e2","e0249e893f5d","e0243c05a07f","d3a46712db86","a6019365a569","b1c820de4993","a3ea0fd28397","da65879e18e9","c45dc8b91392","d8fc97162ae8","d0daa6cf5f63","c66a477e04fe","d508c1417403","d0659a0c1245","a37234056a4e","db97e54db1af"
"hub_fc37c4e23a31",0,1.6982862,56.6691944,13.7310758,102.9330458,21.9279632,59.5437908,40.1231766,23.2210966,20.077434,2.2395256,27.919502,0.8351616,3.085251,1.5572284,1.5808416,3.0902222,0.3715972,9.4558438,65.0177034,33.825909,27.7560738,3.1579548,6.3395228,33.8402012,43.3979546,57.0177998,12.4578272
"d4f3feb480c6",1.6982862,0,50.6354004,11.996127,101.0383972,21.8229466,59.4673586,40.7557618,20.2750392,17.1543684,3.7246716,26.3299608,2.5141844,4.4809154,3.3611526,1.2111086,1.7479982,1.8772494,6.0126664,66.0013796,33.039838,40.2412426,5.0059984,8.0955992,32.2108904,35.037639,57.1743926,18.8694324
"db501d62cf62",56.6691944,50.6354004,0,41.674191,43.3588064,32.474364,5.3620606,20.9840566,38.1210258,45.5573196,57.4589938,30.675411,56.879849,58.337032,57.2452322,56.4113134,58.2494146,56.656145,51.2897346,118.5711982,23.252788,94.182491,58.4103572,71.9171076,25.620322,18.297123,0.4585932,78.0813956
"e407634ed82a",13.7310758,11.996127,41.674191,0,99.427107,10.3009478,51.3611956,36.8763616,7.5338536,6.2519054,13.2563262,15.345473,11.6089948,13.9324094,12.8275602,12.527424,10.9950516,11.399583,8.8990694,54.6912782,19.9568824,38.8027016,13.9728004,NA,19.664203,37.9352272,46.5074402,31.3980992
"d51d9bb28eed",102.9330458,101.0383972,43.3588064,99.427107,0,94.2576804,45.3454222,69.7857056,94.1365074,96.2262756,106.6266474,83.9175844,103.9838332,107.2760104,106.8366806,103.9838332,101.5790152,103.9838332,98.1638008,160.0471626,75.9729854,135.4366156,108.7779342,110.6937104,78.9246354,66.1455444,50.2513752,122.4182856
"daba29f2cd88",21.9279632,21.8229466,32.474364,10.3009478,94.2576804,0,36.0679202,19.452927,2.0649122,4.3877054,33.3095256,5.850481,32.204055,33.729592,33.1678464,18.8855888,17.1077634,32.135701,13.099112,87.676433,15.221193,56.8251658,34.3864118,35.8348952,11.3629204,24.7826748,31.734898,42.2850272
"d9574537cf02",59.5437908,59.4673586,5.3620606,51.3611956,45.3454222,36.0679202,0,21.5886788,42.742999,44.4897544,72.2539064,39.2799368,70.8377358,73.1623932,72.5956764,69.7297796,67.891057,70.5264144,64.3745544,122.2001742,28.382445,96.1125594,72.8019812,75.195614,28.382445,20.2396194,5.7050734,77.8844118
"c498307335e4",40.1231766,40.7557618,20.9840566,36.8763616,69.7857056,19.452927,21.5886788,0,22.8787052,25.393511,41.2851946,15.1012628,40.024374,41.7649154,40.9608238,40.6159468,37.1423208,40.2555348,32.1487504,98.591324,9.7329882,72.0289596,42.019068,48.3741258,9.8566468,3.0187612,17.4402124,52.6182878
"e1b5e5c96a13",23.2210966,20.2750392,38.1210258,7.5338536,94.1365074,2.0649122,42.742999,22.8787052,0,2.6614562,26.5312944,6.8329144,24.9200042,27.2850526,25.6768694,16.8921376,14.3748462,24.5453,11.8053572,73.5818382,11.6021594,45.9879498,27.3708058,29.3474792,14.7688138,22.6121246,44.414565,126.3946242
"b745af40cf37",20.077434,17.1543684,45.5573196,6.2519054,96.2262756,4.3877054,44.4897544,25.393511,2.6614562,0,20.1743724,12.0352752,18.3754194,26.2684422,19.2130666,17.1220556,15.4026418,18.1591722,12.2303948,71.8972228,19.0720088,45.9357522,26.4940104,30.3100278,19.167083,29.4872942,39.6099002,33.1231056
